playerID,birthYear,weight,height,startingAge,awards,hasntBatted,doublePlays,InnOuts,ERA,stikeOutAVG,errorAVG,assistAVG,DoublePlayAVG,BattersAVG,WinsAVG
klippjo01,1927.0,173.0,73.0,22.58,0,0.0,12.0,554.0,4.24,5.297,0.046,1.015,0.055,39.592,0.462
klobefr01,1871.0,190.0,71.0,25.17,0,0.0,9.0,99.0,4.115,2.321,0.154,1.795,0.115,39.321,0.679
klubeco01,1986.0,215.0,76.0,25.42,4,0.0,7.0,208.0,3.16,9.8,0.02,0.765,0.047,36.21,0.657
knackbr01,1969.0,185.0,75.0,20.67,0,1.0,1.0,32.0,7.035,6.275,0.38,1.521,0.19,45.444,0.19
knappch01,1953.0,195.0,77.0,22.0,0,1.0,4.0,122.0,4.989,5.287,0.134,1.072,0.06,39.927,0.536
knausfr01,1868.0,170.0,70.0,21.67,0,0.0,2.0,44.0,3.303,4.567,0.23,1.695,0.057,38.748,0.488
knebeco01,1991.0,224.0,75.0,22.5,0,1.0,0.0,224.0,3.148,12.955,0.081,0.807,0.0,37.332,0.242
knellph01,1865.0,154.0,67.0,23.33,0,0.0,10.0,204.0,4.053,3.563,0.335,1.927,0.062,40.974,0.49
kneppbo01,1954.0,195.0,75.0,22.33,0,0.0,32.0,445.0,3.676,4.895,0.1,1.499,0.106,38.18,0.485
kneppch01,1871.0,190.0,76.0,28.25,0,0.0,2.0,27.0,5.777,1.762,0.246,2.008,0.082,41.954,0.164
knetzel01,1885.0,180.0,70.0,24.17,0,0.0,0.0,25.0,3.153,3.799,0.036,0.327,0.0,36.999,0.49
knighbr01,1975.0,175.0,72.0,25.67,0,1.0,0.0,15.0,8.617,6.894,0.0,0.574,0.0,43.085,0.287
knighjo01,1859.0,185.0,71.0,24.67,0,0.0,0.0,133.0,5.471,1.412,4.059,4.059,0.0,43.412,0.353
knighlo01,1853.0,165.0,71.0,22.25,0,0.0,36.0,560.0,2.774,0.677,3.364,5.221,0.786,41.352,0.35
knotter01,1974.0,188.0,72.0,27.0,0,1.0,0.0,16.0,4.5,7.875,0.375,0.75,0.0,41.625,0.375
knottga01,1977.0,235.0,76.0,24.42,0,0.0,2.0,86.0,5.454,5.454,0.0,0.976,0.067,40.264,0.438
knowlda01,1941.0,180.0,72.0,23.33,0,0.0,16.0,765.0,3.115,5.613,0.239,2.275,0.132,38.39,0.544
knudsku01,1967.0,185.0,74.0,25.25,0,1.0,2.0,82.0,5.067,6.413,0.0,0.792,0.158,41.015,0.475
knudsma01,1960.0,215.0,77.0,24.75,0,1.0,4.0,121.0,4.724,3.641,0.075,0.803,0.075,39.361,0.448
kobayma01,1974.0,195.0,72.0,33.92,0,1.0,1.0,67.0,5.097,5.372,0.0,0.689,0.138,39.811,0.551
kobelke01,1953.0,180.0,72.0,19.92,0,0.0,6.0,115.0,3.876,3.876,0.095,1.456,0.113,38.08,0.34
kochal01,1938.0,195.0,76.0,25.33,0,0.0,0.0,42.0,5.414,5.133,0.141,0.984,0.0,39.867,0.281
kochbi01,1974.0,218.0,75.0,24.42,2,1.0,7.0,379.0,3.889,7.888,0.044,0.95,0.155,39.263,0.641
kochma01,1990.0,215.0,75.0,25.83,0,0.0,1.0,36.0,4.883,4.955,0.0,0.646,0.072,37.915,0.431
